id;create_date;load_date;comment;restricted_yn;user_id
1;2021-07-07T07:25:35;2021-07-06T16:54:11;Sausages Gardens;M;97638
2;2021-07-07T13:28:15;2021-07-07T04:17:48;Bedfordshire;A;6296
3;2021-07-06T19:07:39;2021-07-07T11:26:03;Sol;A;83255
4;2021-07-07T07:53:30;2021-07-07T12:33:50;port envisioneer pink;S;16545
5;2021-07-07T01:53:47;2021-07-06T20:32:59;Fork;B;87473
6;2021-07-06T19:25:19;2021-07-07T08:08:06;payment channels Chile;m;30545
7;2021-07-06T17:52:30;2021-07-07T10:40:49;Yen Monitored;S;90603
8;2021-07-06T19:42:52;2021-07-06T18:24:29;Implementation;A;79314
9;2021-07-07T10:15:34;2021-07-07T03:01:43;card HDD ROI;i;76045
10;2021-07-07T04:32:36;2021-07-07T05:50:31;Forges;G;31835
