id;campaign_id;product_id;create_date;modified_date;active_yn
1;26914;channels;2021-07-07T12:14:35;2021-07-06T16:45:43;R
2;84889;Hill Montana Total;2021-07-07T02:46:30;2021-07-06T21:47:52;p
3;30724;Electronics;2021-07-06T18:46:47;2021-07-07T14:14:22;o
4;88462;withdrawal;2021-07-06T22:15:24;2021-07-07T09:07:45;L
5;56045;definition;2021-07-07T13:55:27;2021-07-06T20:19:08;P
6;45088;Investor;2021-07-07T10:35:35;2021-07-06T21:48:23;p
7;19663;interactive Intranet;2021-07-07T04:56:09;2021-07-07T12:46:42;I
8;16080;integrate implement turquoise;2021-07-06T18:51:06;2021-07-06T17:38:12;I
9;33825;Anguilla Account;2021-07-06T22:49:39;2021-07-06T18:58:49;F
10;2087;Personal;2021-07-07T13:49:45;2021-07-07T04:28:32;D
