id;file_name;batch_id;create_date;completed_date;num_loaded;num_failed
1;synthesize;74700;2021-07-07T15:14:31;2021-07-07T04:59:19;64765;93858
2;Frozen;31219;2021-07-06T17:07:05;2021-07-07T01:47:13;61963;70799
3;Handcrafted Grenada;17923;2021-07-07T03:55:10;2021-07-07T12:21:30;30514;80275
4;Incredible;12296;2021-07-07T04:51:40;2021-07-07T06:51:36;14639;15800
5;synergy system robust;70803;2021-07-07T02:23:11;2021-07-07T09:38:28;27548;30216
6;microchip partnerships Dalasi;77316;2021-07-07T09:56:46;2021-07-06T16:22:37;37413;98230
7;Cambridgeshire Chair;20148;2021-07-07T09:41:20;2021-07-06T22:27:15;5426;31579
8;card;91428;2021-07-07T00:37:08;2021-07-07T00:51:01;52979;21762
9;functionalities non-volatile lavender;94268;2021-07-06T20:25:09;2021-07-06T20:23:48;27833;12749
10;Shirt Account Optimization;97507;2021-07-06T17:10:58;2021-07-07T10:55:49;18341;18782
