id;batch_id;file_id;product_id;voucher_code;description;create_date;start_date;end_date;expiry_date;collection_point;issued_date;reversed_date;source_trxid;quantity
1;70757;99218;interface;help-desk;Intuitive partnerships;2021-07-06T23:53:52;2021-07-06T17:38:55;2021-07-06T21:00:00;2021-07-06T19:41:47;Account Accounts;2021-07-07T03:02:41;2021-07-07T03:53:32;haptic;86353
2;96361;18203;optimizing;JBOD Spain Loaf;Books;2021-07-06T17:46:11;2021-07-07T09:56:06;2021-07-07T01:11:34;2021-07-07T12:44:08;Auto Tools;2021-07-06T22:19:35;2021-07-07T06:17:47;integrated Ngultrum;20530
3;12704;87788;cross-platform state;deposit Concrete;Optimized iterate;2021-07-07T11:46:38;2021-07-07T02:35:16;2021-07-07T03:21:18;2021-07-06T20:16:29;bluetooth iterate;2021-07-06T19:01:45;2021-07-07T00:51:25;hack Cotton copy;75610
4;68490;70130;Consultant;Vermont;product Practical;2021-07-07T05:32:03;2021-07-07T02:28:02;2021-07-07T08:56:49;2021-07-06T18:18:45;Licensed;2021-07-07T07:35:09;2021-07-07T01:54:27;neural Chicken;28763
5;20424;44753;deposit blockchains ;parse;Compatible silver Developer;2021-07-07T07:47:36;2021-07-07T03:19:44;2021-07-07T01:56:51;2021-07-06T22:28:38;Rican;2021-07-06T17:37:42;2021-07-07T06:48:55;National Ports microchip;27861
6;43554;32763;Cambridgeshire Cape ;blue Loan;Nevada;2021-07-06T21:53:36;2021-07-07T01:39:13;2021-07-07T12:04:42;2021-07-07T00:32:01;back-end Usability;2021-07-07T09:15:41;2021-07-07T08:49:37;Face;70620
7;75952;90266;Cape Books;encryption Avon panel;adapter Mouse;2021-07-06T17:53:25;2021-07-07T15:58:54;2021-07-07T12:52:58;2021-07-07T04:06:55;compress drive Loan;2021-07-07T13:28:36;2021-07-07T04:32:39;envisioneer;13882
8;81668;13586;intangible;Licensed;Gorgeous;2021-07-07T09:59:24;2021-07-07T00:58:49;2021-07-07T07:15:04;2021-07-07T12:49:25;syndicate;2021-07-07T04:48:26;2021-07-07T10:09:09;challenge Bedfordshire object-oriented;60853
9;68835;50966;Chicken;program clicks-and-mortar architect;SMS;2021-07-07T09:52:02;2021-07-07T13:17:31;2021-07-07T02:15:31;2021-07-07T06:17:47;parsing;2021-07-07T13:02:50;2021-07-06T17:06:53;Consultant Dollar multi-byte;22310
10;38565;59363;Loan;Awesome Interactions;multi-byte;2021-07-06T22:02:59;2021-07-07T00:14:57;2021-07-07T08:10:02;2021-07-06T17:31:43;National Optimization withdrawal;2021-07-07T03:23:59;2021-07-06T20:44:00;Data Senior Human;5949
